Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
'98 koshien,PS,1998.0,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,,
.hack//g.u. vol.1//rebirth,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,
.hack//g.u. vol.2//reminisce,PS2,2006.0,Role-Playing,Namco Bandai Games,0.11,0.09,0.0,0.03,0.23,,
.hack//g.u. vol.2//reminisce (jp sales),PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,,
.hack//g.u. vol.3//redemption,PS2,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,
.hack//infection part 1,PS2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27,,
.hack//link,PSP,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,
.hack//mutation part 2,PS2,2002.0,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,,
.hack//outbreak part 3,PS2,2002.0,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,,
.hack//quarantine part 4: the final chapter,PS2,2003.0,Role-Playing,Atari,0.09,0.07,0.0,0.02,0.18,,
.hack: sekai no mukou ni + versus,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,
007 racing,PS,2000.0,Racing,Electronic Arts,0.3,0.2,0.0,0.03,0.53,51.0,4.9
007: quantum of solace,DS,2008.0,Action,Activision,0.55,0.05,0.0,0.05,0.7000000000000001,63.8,6.775
007: quantum of solace,PC,2008.0,Action,Activision,0.05,0.05,0.0,0.0,0.15,63.8,6.775
007: quantum of solace,PS2,2008.0,Action,Activision,0.8500000000000001,0.0,0.0,1.3,2.15,63.8,6.775
007: quantum of solace,PS3,2008.0,Action,Activision,2.15,2.6,0.1,1.0,5.8,63.8,6.775
007: quantum of solace,Wii,2008.0,Action,Activision,1.5,1.45,0.05,0.35000000000000003,3.35,63.8,6.775
007: quantum of solace,X360,2008.0,Action,Activision,4.1,2.6,0.05,0.7000000000000001,7.45,63.8,6.775
007: the world is not enough,N64,2000.0,Action,Electronic Arts,2.26,0.76,0.04,0.06,3.1,71.0,7.25
007: the world is not enough,PS,2000.0,Action,Electronic Arts,1.02,0.7,0.0,0.12,1.84,71.0,7.25
007: tomorrow never dies,PS,1999.0,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21,,
1 vs. 100,DS,2008.0,Misc,DSI Games,0.08,0.0,0.0,0.01,0.09,,
1/2 summer +,PSP,2013.0,Adventure,Kaga Create,0.0,0.0,0.01,0.0,0.01,,
10 minute solution,Wii,2010.0,Sports,Activision,0.06,0.01,0.0,0.01,0.08,,
100 all-time favorites,DS,2009.0,Puzzle,Ubisoft,0.35,0.12,0.0,0.04,0.51,,
100 classic books,DS,2008.0,Misc,Nintendo,0.13,0.52,0.0,0.02,0.67,,
100 classic games,DS,2011.0,Misc,Rondomedia,0.0,0.03,0.0,0.0,0.04,,
1000 cooking recipes from elle à table,DS,2010.0,Misc,Nintendo,0.0,0.02,0.0,0.0,0.03,,
1001 touch games,DS,2011.0,Action,Avanquest,0.12,0.17,0.0,0.04,0.33,,
101-in-1 explosive megamix,DS,2008.0,Puzzle,Nordcurrent,0.05,0.13,0.0,0.02,0.2,,
101-in-1 party megamix wii,Wii,2009.0,Misc,Nordcurrent,0.19,0.01,0.0,0.02,0.23,,
101-in-1 sports megamix,DS,2010.0,Sports,Nordcurrent,0.08,0.0,0.0,0.01,0.08,,
101-in-1 sports party megamix,Wii,2010.0,Sports,Nordcurrent,0.02,0.0,0.0,0.0,0.03,,
1080°: teneighty snowboarding,N64,1998.0,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,,
11eyes: crossover,PSP,2010.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02,,
11eyes: crossover,X360,2009.0,Adventure,5pb,0.0,0.0,0.02,0.0,0.02,,
12-sai. honto no kimochi,3DS,2014.0,Adventure,Happinet,0.0,0.0,0.07,0.0,0.07,,
12-sai. koisuru diary,3DS,2016.0,Adventure,Happinet,0.0,0.0,0.04,0.0,0.04,,
12riven: the psi-climinal of integral,PS2,2008.0,Adventure,CyberFront,0.0,0.0,0.04,0.0,0.04,,
